Id,type,POINT_X,POINT_Y
884,ADE,-63.466681,-8.431918
885,ADE,-63.847394,-8.841185
886,ADE,-64.104376,-8.812632
887,ADE,-64.199555,-9.079132
888,ADE,-64.323287,-9.193346
889,ADE,-64.513644,-9.279006
890,ADE,-62.876574,-8.127347
891,ADE,-62.838503,-7.946508
892,ADE,-62.838503,-7.765669
893,ADE,-62.305504,-7.832294
894,ADE,-62.172254,-7.879883
895,ADE,-61.458416,-7.946508
896,ADE,-62.476825,-6.642563
897,ADE,-62.438754,-6.433171
898,ADE,-62.381647,-6.290403
899,ADE,-64.732554,-6.928099
900,ADE,-62.716318,-16.040959
901,ADE,-62.710607,-15.89248
902,ADE,-62.89906,-15.618366
903,ADE,-76.058431,-9.416539
904,ADE,-75.357918,-11.122137
905,ADE,-74.86299,-10.551066
906,ADE,-74.29192,-9.005368
907,ADE,-74.352834,-8.845468
908,ADE,-74.733548,-9.012983
909,ADE,-74.642176,-8.396226
910,ADE,-75.574925,-0.769324
911,ADE,-69.762568,-1.28443
912,ADE,-69.591247,-1.352958
913,ADE,-69.122969,-1.809815
914,ADE,-68.948602,-3.447645
915,ADE,-68.621188,-3.440031
916,ADE,-67.616104,-3.386731
917,ADE,-67.494275,-3.287746
918,ADE,-67.753161,-1.612605
919,ADE,-67.105947,-1.932405
920,ADE,-66.321677,-2.039004
921,ADE,-66.146549,-2.541547
922,ADE,-66.039949,-2.488247
923,ADE,-67.265847,0.80112
924,ADE,-67.174476,0.96102
925,ADE,-65.303268,-4.414658
926,ADE,-65.181439,-4.247144
927,ADE,-65.097682,-4.140544
928,ADE,-64.983468,-3.988259
929,ADE,-64.991082,-3.790288
930,ADE,-64.991082,-3.592317
931,ADE,-64.709354,-3.683688
932,ADE,-64.496155,-3.676074
933,ADE,-64.222041,-3.607545
934,ADE,-64.321026,-3.500945
935,ADE,-64.572297,-3.264903
936,ADE,-64.838797,-3.272517
937,ADE,-64.960625,-3.363888
938,ADE,-65.013925,-3.089774
939,ADE,-65.211896,-2.929875
940,ADE,-64.884483,-2.907032
941,ADE,-64.602754,-2.998403
942,ADE,-64.351483,-3.036474
943,ADE,-64.518997,-2.648146
944,ADE,-64.404783,-2.846118
945,ADE,-64.587526,-2.511089
946,ADE,-64.747426,-2.328347
947,ADE,-64.762654,-2.709061
948,ADE,-64.793111,-2.572004
949,ADE,-65.166211,-2.335961
950,ADE,-64.96824,-2.160833
951,ADE,-64.892097,-2.320733
952,ADE,-65.173825,-1.985704
953,ADE,-65.546925,-1.863876
954,ADE,-64.09006,-0.190766
955,ADE,-63.869246,-0.19838
956,ADE,-62.98599,-0.30498
957,ADE,-62.734719,-0.350666
958,ADE,-62.909847,-0.480108
959,ADE,-61.402221,-0.640008
960,ADE,-61.531663,-0.792294
961,ADE,-61.539278,-0.997879
962,ADE,-62.216948,-1.744078
963,ADE,-62.491062,-1.873521
964,ADE,-62.833704,-1.751692
965,ADE,-60.419979,-1.804992
966,ADE,-60.51135,0.357462
967,ADE,-60.351451,1.080818
968,ADE,-61.128107,1.728031
969,ADE,-59.144588,-2.968454
970,ADE,-58.944713,-3.002718
971,ADE,-58.693442,-2.831397
972,ADE,-60.012615,-2.026187
973,ADE,-59.909823,-1.860577
974,ADE,-59.758489,-3.679437
975,ADE,-60.262935,-3.84124
976,ADE,-60.510399,-3.698472
977,ADE,-60.805452,-3.679437
978,ADE,-61.062434,-3.793651
979,ADE,-61.357487,-3.84124
980,ADE,-62.604324,-5.459273
981,ADE,-62.642396,-5.230845
982,ADE,-62.452039,-5.03097
983,ADE,-62.328307,-4.859649
984,ADE,-62.118914,-4.745435
985,ADE,-61.87145,-4.431346
986,ADE,-61.814343,-4.240989
987,ADE,-58.987544,-4.088704
988,ADE,-58.378402,-3.822204
989,ADE,-58.092866,-3.898347
990,ADE,-57.835885,-3.888829
991,ADE,-57.559867,-4.374239
992,ADE,-57.559867,-4.041115
993,ADE,-57.531314,-3.831722
994,ADE,-57.759742,-3.508115
995,ADE,-56.427244,-3.403419
996,ADE,-56.474833,-3.232098
997,ADE,-56.589047,-3.041741
998,ADE,-56.008458,-3.536669
999,ADE,-55.979905,-3.35583
1000,ADE,-55.808584,-3.032223
1001,ADE,-55.78003,-2.822831
1002,ADE,-55.837137,-2.60392
1003,ADE,-56.284476,-2.565849
1004,ADE,-56.151226,-2.394528
1005,ADE,-55.989423,-2.213689
1006,ADE,-56.351101,-2.11851
1007,ADE,-56.712779,-2.013814
1008,ADE,-57.045903,-1.909118
1009,ADE,-56.922172,-2.318385
1010,ADE,-56.846029,-1.547439
1011,ADE,-57.226743,-1.14769
1012,ADE,-57.398064,-1.090583
1013,ADE,-57.350474,-0.824083
1014,ADE,-55.979905,-0.062656
1015,ADE,-55.351727,-1.737796
1016,ADE,-55.770512,-1.652136
1017,ADE,-55.989423,-1.442743
1018,ADE,-55.066192,-1.6331
1019,ADE,-55.07571,-1.937671
1020,ADE,-54.561746,-1.794903
1021,ADE,-55.199442,-2.832348
1022,ADE,-55.085228,-3.194026
1023,ADE,-54.932942,-2.908491
1024,ADE,-54.609335,-2.699099
1025,ADE,-54.333318,-2.718134
1026,ADE,-56.648058,-2.337421
1027,ADE,-54.055397,-2.531585
1028,ADE,-53.861233,-2.188942
1029,ADE,-54.318089,-2.234628
1030,ADE,-54.249561,-1.869143
1031,ADE,-53.781283,-1.789193
1032,ADE,-53.587119,-1.697821
1033,ADE,-53.427219,-1.732086
1034,ADE,-52.414917,-3.576136
1035,ADE,-52.319739,-3.431465
1036,ADE,-51.881918,-3.606593
1037,ADE,-51.840039,-3.431465
1038,ADE,-51.649683,-3.454308
1039,ADE,-51.417447,-3.290601
1040,ADE,-51.60019,-3.107858
1041,ADE,-51.919989,-2.616738
1042,ADE,-52.068468,-2.689073
1043,ADE,-51.897146,-2.757602
1044,ADE,-52.026589,-2.875623
1045,ADE,-51.623033,-2.296938
1046,ADE,-51.505011,-2.338816
1047,ADE,-51.38699,-2.338816
1048,ADE,-51.135719,-3.595172
1049,ADE,-51.314654,-3.381972
1050,ADE,-48.570279,-6.455665
1051,ADE,-48.617868,-6.289102
1052,ADE,-48.341851,-6.374763
1053,ADE,-48.275226,-6.184406
1054,ADE,-48.441788,-6.108263
1055,ADE,-48.508413,-5.384907
1056,ADE,-48.498895,-5.246899
1057,ADE,-48.498895,-5.080336
1058,ADE,-48.61311,-5.061301
1059,ADE,-48.765395,-5.070818
1060,ADE,-48.760636,-5.304006
1061,ADE,-48.960511,-5.351595
1062,ADE,-49.250805,-5.389666
1063,ADE,-48.993823,-5.10889
1064,ADE,-48.989064,-4.88522
1065,ADE,-49.717179,-4.813837
1066,ADE,-49.745733,-4.613962
1067,ADE,-49.888501,-4.461676
1068,ADE,-49.712421,-4.380775
1069,ADE,-49.464957,-4.22373
1070,ADE,-49.403091,-4.395051
1071,ADE,-49.422126,-4.594926
1072,ADE,-49.554821,-4.009182
1073,ADE,-49.684264,-3.952075
1074,ADE,-49.760406,-3.727454
1075,ADE,-49.497714,-3.750297
1076,ADE,-49.562435,-3.567554
1077,ADE,-49.094157,-2.836584
1078,ADE,-49.752792,-3.053591
1079,ADE,-50.00787,-2.806127
1080,ADE,-49.840356,-2.707141
1081,ADE,-49.920306,-2.56247
1082,ADE,-50.14112,-2.58912
1083,ADE,-50.125892,-2.493941
1084,ADE,-48.599927,-1.945587
1085,ADE,-48.609445,-1.79806
1086,ADE,-48.604686,-1.645775
1087,ADE,-48.818838,-1.764748
1088,ADE,-48.861668,-0.993802
1089,ADE,-48.695106,-0.91766
1090,ADE,-49.047266,-1.079463
1091,ADE,-49.78014,-1.7124
1092,ADE,-49.994291,-1.969381
1093,ADE,-50.198925,-2.036006
1094,ADE,-50.065675,-2.093113
1095,ADE,-51.041254,-2.112149
1096,ADE,-51.274442,-2.045524
